,Date,Close,Open,High,Low,PE,Ratio
310,1961-03-27,64.349998,64.349998,64.349998,64.349998,19.84,20.75
311,1961-03-28,64.379997,64.379997,64.379997,64.379997,19.84,20.75
312,1961-03-29,64.93,64.93,64.93,64.93,19.84,20.75
313,1961-03-30,65.059998,65.059998,65.059998,65.059998,19.84,20.75
314,1961-04-03,65.599998,65.599998,65.599998,65.599998,20.38,21.44
315,1961-04-04,65.660004,65.660004,65.660004,65.660004,20.38,21.44
316,1961-04-05,65.459999,65.459999,65.459999,65.459999,20.38,21.44
317,1961-04-06,65.610001,65.610001,65.610001,65.610001,20.38,21.44
318,1961-04-07,65.959999,65.959999,65.959999,65.959999,20.38,21.44
319,1961-04-10,66.529999,66.529999,66.529999,66.529999,20.38,21.44
320,1961-04-11,66.620003,66.620003,66.620003,66.620003,20.38,21.44
321,1961-04-12,66.309998,66.309998,66.309998,66.309998,20.38,21.44
322,1961-04-13,66.260002,66.260002,66.260002,66.260002,20.38,21.44
323,1961-04-14,66.370003,66.370003,66.370003,66.370003,20.38,21.44
324,1961-04-17,68.68,68.68,68.68,68.68,20.38,21.44
325,1961-04-18,66.199997,66.199997,66.199997,66.199997,20.38,21.44
326,1961-04-19,65.809998,65.809998,65.809998,65.809998,20.38,21.44
327,1961-04-20,65.82,65.82,65.82,65.82,20.38,21.44
328,1961-04-21,65.769997,65.769997,65.769997,65.769997,20.38,21.44
329,1961-04-24,64.400002,64.400002,64.400002,64.400002,20.38,21.44
330,1961-04-25,65.300003,65.300003,65.300003,65.300003,20.38,21.44
331,1961-04-26,65.550003,65.550003,65.550003,65.550003,20.38,21.44
332,1961-04-27,65.459999,65.459999,65.459999,65.459999,20.38,21.44
333,1961-04-28,65.309998,65.309998,65.309998,65.309998,20.38,21.44
334,1961-05-01,65.169998,65.169998,65.169998,65.169998,20.6,21.8
335,1961-05-02,65.639999,65.639999,65.639999,65.639999,20.6,21.8
336,1961-05-03,66.18,66.18,66.18,66.18,20.6,21.8
337,1961-05-04,66.440002,66.440002,66.440002,66.440002,20.6,21.8
338,1961-05-05,66.519997,66.519997,66.519997,66.519997,20.6,21.8
339,1961-05-08,66.410004,66.410004,66.410004,66.410004,20.6,21.8
340,1961-05-09,66.470001,66.470001,66.470001,66.470001,20.6,21.8
341,1961-05-10,66.410004,66.410004,66.410004,66.410004,20.6,21.8
342,1961-05-11,66.389999,66.389999,66.389999,66.389999,20.6,21.8
343,1961-05-12,66.5,66.5,66.5,66.5,20.6,21.8
344,1961-05-15,66.830002,66.830002,66.830002,66.830002,20.6,21.8
345,1961-05-16,67.080002,67.080002,67.080002,67.080002,20.6,21.8
346,1961-05-17,67.389999,67.389999,67.389999,67.389999,20.6,21.8
347,1961-05-18,66.989998,66.989998,66.989998,66.989998,20.6,21.8
348,1961-05-19,67.269997,67.269997,67.269997,67.269997,20.6,21.8
349,1961-05-22,66.849998,66.849998,66.849998,66.849998,20.6,21.8
350,1961-05-23,66.68,66.68,66.68,66.68,20.6,21.8
351,1961-05-24,66.260002,66.260002,66.260002,66.260002,20.6,21.8
352,1961-05-25,66.010002,66.010002,66.010002,66.010002,20.6,21.8
353,1961-05-26,66.43,66.43,66.43,66.43,20.6,21.8
354,1961-05-31,66.559998,66.559998,66.559998,66.559998,20.6,21.8
355,1961-06-01,66.559998,66.559998,66.559998,66.559998,20.33,21.66
356,1961-06-02,66.730003,66.730003,66.730003,66.730003,20.33,21.66
357,1961-06-05,67.080002,67.080002,67.080002,67.080002,20.33,21.66
358,1961-06-06,66.889999,66.889999,66.889999,66.889999,20.33,21.66
359,1961-06-07,65.639999,65.639999,65.639999,65.639999,20.33,21.66
360,1961-06-08,66.669998,66.669998,66.669998,66.669998,20.33,21.66
361,1961-06-09,66.660004,66.660004,66.660004,66.660004,20.33,21.66
362,1961-06-12,66.150002,66.150002,66.150002,66.150002,20.33,21.66
363,1961-06-13,65.800003,65.800003,65.800003,65.800003,20.33,21.66
364,1961-06-14,65.980003,65.980003,65.980003,65.980003,20.33,21.66
365,1961-06-15,65.690002,65.690002,65.690002,65.690002,20.33,21.66
366,1961-06-16,65.18,65.18,65.18,65.18,20.33,21.66
367,1961-06-19,64.580002,64.580002,64.580002,64.580002,20.33,21.66
368,1961-06-20,65.150002,65.150002,65.150002,65.150002,20.33,21.66
369,1961-06-21,65.139999,65.139999,65.139999,65.139999,20.33,21.66
370,1961-06-22,64.900002,64.900002,64.900002,64.900002,20.33,21.66
371,1961-06-23,65.160004,65.160004,65.160004,65.160004,20.33,21.66
372,1961-06-26,64.470001,64.470001,64.470001,64.470001,20.33,21.66
373,1961-06-27,64.470001,64.470001,64.470001,64.470001,20.33,21.66
374,1961-06-28,64.589996,64.589996,64.589996,64.589996,20.33,21.66
375,1961-06-29,64.519997,64.519997,64.519997,64.519997,20.33,21.66
376,1961-06-30,64.639999,64.639999,64.639999,64.639999,20.33,21.66
377,1961-07-03,65.209999,65.209999,65.209999,65.209999,20.15,21.55
378,1961-07-05,65.629997,65.629997,65.629997,65.629997,20.15,21.55
379,1961-07-06,65.809998,65.809998,65.809998,65.809998,20.15,21.55
380,1961-07-07,65.769997,65.769997,65.769997,65.769997,20.15,21.55
381,1961-07-10,65.709999,65.709999,65.709999,65.709999,20.15,21.55
382,1961-07-11,65.690002,65.690002,65.690002,65.690002,20.15,21.55
383,1961-07-12,65.32,65.32,65.32,65.32,20.15,21.55
384,1961-07-13,64.860001,64.860001,64.860001,64.860001,20.15,21.55
385,1961-07-14,65.279999,65.279999,65.279999,65.279999,20.15,21.55
386,1961-07-17,64.790001,64.790001,64.790001,64.790001,20.15,21.55
387,1961-07-18,64.410004,64.410004,64.410004,64.410004,20.15,21.55
388,1961-07-19,64.699997,64.699997,64.699997,64.699997,20.15,21.55
